mem_addr,lat,lon,gps_altitude,baro_altitude,temp,pres,timestamp,aux_data,realtime
100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,-7.08
120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,-7.08
140,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4428,0,-2.65
160,0.0000000000,0.0000000000,0.0000000000,10.0000000000,0.0000000000,0.0000000000,4929,0,-2.15
180,0.0000000000,0.0000000000,0.0000000000,20.0000000000,0.0000000000,0.0000000000,5430,0,-1.65
1A0,0.0000000000,0.0000000000,0.0000000000,30.0000000000,0.0000000000,0.0000000000,5931,0,-1.15
1C0,0.0000000000,0.0000000000,0.0000000000,40.0000000000,0.0000000000,0.0000000000,6432,0,-0.65
1E0,0.0000000000,0.0000000000,0.0000000000,50.0000000000,0.0000000000,0.0000000000,6933,0,-0.15
200,0.0000000000,0.0000000000,0.0000000000,53.0000000000,0.0000000000,0.0000000000,7527,1073741824,0.45
220,0.0000000000,0.0000000000,0.0000000000,62.0000000000,0.0000000000,0.0000000000,8028,1073741824,0.95
240,0.0000000000,0.0000000000,0.0000000000,72.0000000000,0.0000000000,0.0000000000,8529,1073741824,1.45
260,0.0000000000,0.0000000000,0.0000000000,82.0000000000,0.0000000000,0.0000000000,9030,1073741824,1.95
280,0.0000000000,0.0000000000,0.0000000000,92.0000000000,0.0000000000,0.0000000000,9531,1073741824,2.45
2A0,0.0000000000,0.0000000000,0.0000000000,102.0000000000,0.0000000000,0.0000000000,10032,1073741824,2.95
2C0,0.0000000000,0.0000000000,0.0000000000,111.0000000000,0.0000000000,0.0000000000,10533,1073741824,3.45
2E0,0.0000000000,0.0000000000,0.0000000000,121.0000000000,0.0000000000,0.0000000000,11034,1073741824,3.95
300,0.0000000000,0.0000000000,0.0000000000,131.0000000000,0.0000000000,0.0000000000,11697,1073741824,4.62
320,0.0000000000,0.0000000000,0.0000000000,141.0000000000,0.0000000000,0.0000000000,12198,1073741824,5.12
340,0.0000000000,0.0000000000,0.0000000000,151.0000000000,0.0000000000,0.0000000000,12699,1073741824,5.62
